leiden_deep_ex_r0p6,GSM5292143,GSM5292144,GSM5292145,GSM5292146,GSM5292147,GSM5292148,GSM5292149,GSM5292150,GSM5292151,GSM5292152,GSM5292154,GSM5292155,GSM5292156,GSM5292157,GSM5292158,GSM5292174,GSM5292175,GSM5292176,GSM5292177,GSM5292178,GSM5292179,GSM5292180,GSM5292181,GSM5292182,GSM5292183,GSM5292200
0,13,25,17,3,1,47,225,230,42,38,1,6,124,25,18,86,6,22,4,9,0,4,48,0,8,0
1,2,0,0,0,52,37,191,104,77,28,2,35,91,64,121,44,1,0,0,0,0,0,35,0,9,0
2,87,36,10,26,18,1,1,0,0,0,0,0,1,0,4,3,147,171,84,117,0,151,0,0,0,2
3,34,22,4,119,72,11,83,87,32,7,4,15,26,50,55,12,27,27,24,25,1,57,12,14,4,16
4,34,13,5,96,57,30,69,48,56,5,2,28,25,55,80,22,22,42,15,39,0,48,14,3,3,11
5,9,13,1,71,48,13,63,95,43,7,1,20,13,29,64,14,29,39,34,41,0,72,9,0,7,6
6,0,0,0,0,0,0,5,1,124,0,5,68,0,149,232,0,0,0,0,0,0,0,0,0,6,0
7,21,37,5,153,23,1,2,1,0,0,0,0,0,0,4,0,42,81,44,45,0,60,1,10,1,29
8,21,11,0,15,190,4,41,41,38,0,0,9,10,30,10,10,9,4,1,9,0,16,2,0,1,26
9,62,42,8,29,21,24,41,39,3,4,0,7,3,16,17,25,13,17,2,23,0,12,8,0,1,1
10,7,18,10,26,8,23,30,37,24,6,0,20,29,11,19,16,26,28,18,14,0,16,6,1,8,4
11,6,18,31,13,17,15,11,15,9,12,1,4,8,4,8,8,13,28,9,8,0,11,9,61,4,0
12,2,3,0,277,4,0,1,0,0,0,0,0,0,0,23,0,0,0,0,2,0,1,0,0,1,0
13,7,4,0,0,26,4,7,12,8,1,1,16,12,3,4,4,1,1,0,1,0,8,0,0,1,3
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,42,0,70
