group_name,condition,n_retained_donors,min_cells,median_cells,max_cells
Ex_L5_L6_THEMIS_NR4A2,Control,5,24,27.0,56
Ex_L5_L6_THEMIS_NR4A2,c9ALS,6,24,51.5,115
Ex_L5_L6_THEMIS_NR4A2,sALS,5,22,33.0,86
Ex_L5_L6_THEMIS_TMEM233,Control,8,43,130.0,208
Ex_L5_L6_THEMIS_TMEM233,c9ALS,6,90,230.0,327
Ex_L5_L6_THEMIS_TMEM233,sALS,9,28,98.0,302
Ex_L5_PCP4_NXPH2,Control,5,25,40.0,48
Ex_L5_PCP4_NXPH2,c9ALS,5,25,65.0,108
Ex_L5_PCP4_NXPH2,sALS,6,30,42.0,69
Ex_L6_TLE4_CCBE1,Control,9,20,60.0,98
Ex_L6_TLE4_CCBE1,c9ALS,5,40,73.0,102
Ex_L6_TLE4_CCBE1,sALS,9,22,52.0,156
Ex_L6_TLE4_MEGF11,Control,7,40,52.0,88
Ex_L6_TLE4_MEGF11,c9ALS,6,30,87.0,176
Ex_L6_TLE4_MEGF11,sALS,8,31,52.0,222
