Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,level,cell_type,comparison,gene_set_library
prerank,Mitochondrial Translation Termination R-HSA-5419276,0.7409561275137122,2.836319282379077,0.001,0.001,0.001,48/75,12.56%,MRPS2;MRPL20;MRPL49;GADD45GIP1;MRPL44;MRPL18;MRPL55;MRPL10;CHCHD1;AURKAIP1;MRPS23;MRPL51;MRPS33;MRPL34;MRPS34;MRPS10;ERAL1;MRPS7;MRPL4;MRPL35;MRPS26;MRPS21;OXA1L;MRPL19;MRPL42;MRPL43;MRPL9;MRPL17;MRPL40;MRPL24;MRPL37;MRPL41;MRPS36;MRPL21;MRPL32;MRPL36;MRPL54;MRPL50;MRPS15;MRPL52;MRPL47;MRPS18C;MRPL57;MRPL14;MRPS16;MRPS18A;MRPL15;MRPS18B,broad,Excitatory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Initiation R-HSA-5368286,0.733385741697929,2.816287032988311,0.001,0.001,0.001,49/75,12.56%,MRPS2;MRPL20;MRPL49;GADD45GIP1;MRPL44;MRPL18;MRPL55;MRPL10;CHCHD1;AURKAIP1;MRPS23;MRPL51;MRPS33;MRPL34;MRPS34;MRPS10;ERAL1;MRPS7;MRPL4;MRPL35;MRPS26;MRPS21;OXA1L;MRPL19;MRPL42;MRPL43;MRPL9;MRPL17;MTIF3;MRPL40;MRPL24;MRPL37;MRPL41;MRPS36;MRPL21;MRPL32;MRPL36;MRPL54;MRPL50;MRPS15;MRPL52;MRPL47;MRPS18C;MRPL57;MRPL14;MRPS16;MRPS18A;MRPL15;MRPS18B,broad,Excitatory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Elongation R-HSA-5389840,0.7331412845949221,2.801453077331367,0.001,0.001,0.001,49/75,12.56%,MRPS2;MRPL20;MRPL49;GADD45GIP1;TUFM;MRPL44;MRPL18;MRPL55;MRPL10;CHCHD1;AURKAIP1;MRPS23;MRPL51;MRPS33;MRPL34;MRPS34;MRPS10;ERAL1;MRPS7;MRPL4;MRPL35;MRPS26;MRPS21;OXA1L;MRPL19;MRPL42;MRPL43;MRPL9;MRPL17;MRPL40;MRPL24;MRPL37;MRPL41;MRPS36;MRPL21;MRPL32;MRPL36;MRPL54;MRPL50;MRPS15;MRPL52;MRPL47;MRPS18C;MRPL57;MRPL14;MRPS16;MRPS18A;MRPL15;MRPS18B,broad,Excitatory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation R-HSA-5368287,0.713578587202871,2.776882368090832,0.001,0.001,0.001,49/81,11.69%,MRPS2;MRPL20;MRPL49;GADD45GIP1;TUFM;MRPL44;MRPL18;MRPL55;MRPL10;CHCHD1;AURKAIP1;MRPS23;MRPL51;MRPS33;MRPL34;MRPS34;MRPS10;ERAL1;MRPS7;MRPL4;MRPL35;MRPS26;MRPS21;OXA1L;MRPL19;MRPL42;MRPL43;MRPL9;MRPL17;MTIF3;MRPL40;MRPL24;MRPL37;MRPL41;MRPS36;MRPL21;MRPL32;MRPL36;MRPL54;MRPL50;MRPS15;MRPL52;MRPL47;MRPS18C;MRPL57;MRPL14;MRPS16;MRPS18A;MRPL15,broad,Excitatory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Protein Import R-HSA-1268020,0.7256664939806292,2.6353507752913807,0.001,0.001,0.001,36/58,11.59%,SLC25A6;IDH3G;TOMM20;TIMM17B;ATP5F1B;CHCHD10;GRPEL1;TOMM7;VDAC1;CHCHD2;TIMM10;COX17;TOMM22;TIMM17A;GFER;TIMM22;TIMM13;SLC25A4;ATP5F1A;ATP5MC1;CCNI;HSPA9;TOMM70;CHCHD4;CS;CHCHD7;PMPCA;TIMM8B;TIMM9;GRPEL2;HSPD1;DNAJC19;BCS1L;COA4;TIMM50;TOMM40,broad,Excitatory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Termination R-HSA-5419276,0.7174548839752833,2.578107635745185,0.001,0.001,0.001,60/73,21.99%,GADD45GIP1;MRPS2;MRPL55;MRPS34;MRPL20;MRPS18C;CHCHD1;MRPS14;MRPS10;MRPL43;MRPS18B;MRPL32;MRPS33;MRPS15;MRPL34;MRPL42;MRPS7;MRPL19;MRPS23;OXA1L;MRPL16;MRPS35;MRPL51;MRPS21;AURKAIP1;ERAL1;MRPL18;MRPL14;MRPL35;MRPL58;MRPL21;MRPS26;MRPL44;MRPL57;MRPL17;MRPS36;MRPL41;MRPL40;MRPS16;MRPL52;MRPL47;MRPL39;MRPL36;MRPS30;MRPL24;MRPS22;GFM2;PTCD3;MRPL1;MRPL23;MRPL37;MRPL4;MRPL15;MRPS31;MRPS11;MRPL13;MTRF1L;MRPS9;MRPL48;MRPL33,excitatory_subtypes,Ex_L5_PCP4_NXPH2,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Elongation R-HSA-5389840,0.7149760125773151,2.557001634912463,0.001,0.001,0.001,60/73,22.18%,TUFM;GADD45GIP1;MRPS2;MRPL55;MRPS34;MRPL20;MRPS18C;CHCHD1;MRPS14;MRPS10;MRPL43;MRPS18B;MRPL32;MRPS33;MRPS15;MRPL34;MRPL42;MRPS7;MRPL19;MRPS23;OXA1L;MRPL16;MRPS35;MRPL51;MRPS21;AURKAIP1;ERAL1;MRPL18;MRPL14;MRPL35;MRPL58;MRPL21;MRPS26;MRPL44;MRPL57;MRPL17;MRPS36;MRPL41;MRPL40;MRPS16;MRPL52;MRPL47;MRPL39;MRPL36;MRPS30;MRPL24;MRPS22;PTCD3;MRPL1;MRPL23;MRPL37;MRPL4;MRPL15;MRPS31;MRPS11;MRPL13;MRPS9;MRPL48;MRPL33;GFM1,excitatory_subtypes,Ex_L5_PCP4_NXPH2,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation R-HSA-5368287,0.7055452318140742,2.5508442636430284,0.001,0.001,0.001,64/79,22.18%,TUFM;GADD45GIP1;MRPS2;MRPL55;MTIF3;MRPS34;MRPL20;MRPS18C;CHCHD1;MRPS14;MRPS10;MRPL43;MRPS18B;MRPL32;MRPS33;MRPS15;MRPL34;MRPL42;MRPS7;MRPL19;MRPS23;OXA1L;MRPL16;MRPS35;MRPL51;MRPS21;AURKAIP1;ERAL1;MRPL18;MRPL14;MRPL35;MRPL58;MRPL21;MRPS26;MRPL44;MRPL57;MRPL17;MRPS36;MRPL41;MRPL40;MRPS16;MRPL52;MRPL47;MRPL39;MRPL36;MRPS30;MRPL24;MRPS22;GFM2;MTIF2;PTCD3;MRPL1;MRPL23;MRPL37;MRPL4;MRPL15;MRPS31;MRPS11;MRPL13;MTRF1L;MRPS9;MRPL48;MRPL33;GFM1,excitatory_subtypes,Ex_L5_PCP4_NXPH2,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Initiation R-HSA-5368286,0.7096439339866754,2.536023473481552,0.001,0.001,0.001,59/73,21.24%,GADD45GIP1;MRPS2;MRPL55;MTIF3;MRPS34;MRPL20;MRPS18C;CHCHD1;MRPS14;MRPS10;MRPL43;MRPS18B;MRPL32;MRPS33;MRPS15;MRPL34;MRPL42;MRPS7;MRPL19;MRPS23;OXA1L;MRPL16;MRPS35;MRPL51;MRPS21;AURKAIP1;ERAL1;MRPL18;MRPL14;MRPL35;MRPL58;MRPL21;MRPS26;MRPL44;MRPL57;MRPL17;MRPS36;MRPL41;MRPL40;MRPS16;MRPL52;MRPL47;MRPL39;MRPL36;MRPS30;MRPL24;MRPS22;MTIF2;PTCD3;MRPL1;MRPL23;MRPL37;MRPL4;MRPL15;MRPS31;MRPS11;MRPL13;MRPS9;MRPL48,excitatory_subtypes,Ex_L5_PCP4_NXPH2,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Elongation R-HSA-5389840,0.7179630430917557,2.5350970798259347,0.001,0.001,0.001,45/74,11.66%,MRPL18;GADD45GIP1;MRPS21;MRPS36;MRPS23;MRPS34;MRPL49;MRPL10;AURKAIP1;MRPS2;MRPL34;MRPS10;MRPL55;MRPL35;MRPL19;MRPL4;MRPL44;MRPL43;MRPS7;MRPL36;MRPL41;MRPL24;CHCHD1;MRPL14;OXA1L;MRPS26;MRPL50;ERAL1;MRPL15;MRPL20;MRPL40;MRPL51;MRPS33;TUFM;MRPL21;MRPS18B;MRPL9;MRPS35;MRPL32;MRPL47;MRPL54;MRPL37;MRPL16;MRPS15;MRPS16,excitatory_subtypes,Ex_L5_L6_THEMIS_TMEM233,c9ALS_vs_sALS,Reactome_2022
