Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,level,cell_type,comparison,gene_set_library
prerank,Defective B3GAT3 Causes JDSSDHD R-HSA-3560801,-0.7361701334587306,-2.2873764650496096,0.001,0.001,0.001,9/18,14.58%,GPC1;SDC3;VCAN;AGRN;GPC3;CSPG4;B3GAT3;GPC4;CSPG5,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783",-0.7423887306649023,-2.2958606935024073,0.001,0.001,0.001,9/18,14.58%,GPC1;SDC3;B4GALT7;VCAN;AGRN;GPC3;CSPG4;GPC4;CSPG5,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,Signaling By NTRKs R-HSA-166520,-0.5055244352385853,-2.319887343715224,0.001,0.001,0.001,55/123,17.25%,MAPK3;NAB2;NELFB;AP2A1;PPP2R1A;CRK;MEF2D;RAP1A;RALGDS;ARC;EGR1;PPP2R5D;EGR3;SHC2;RPS6KA1;IRS1;DNM1;PTPN11;FRS3;IRS2;FOSB;FURIN;JUND;KIDINS220;MAPK1;CDK5R2;DUSP7;CRKL;MAP2K2;CDK5R1;SRC;PCSK6;MAPK12;PTPRU;ID2;MAPK13;PIK3R1;FRS2;AP2M1;MAPK11;NTRK1;CDK5;CLTC;EP300;PIGU;DUSP3;NRAS;AP2B1;MAP2K1;CHD4;KCNH8;RHOA;REST;DNM3;MAPKAPK2,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,Signaling By NTRK1 (TRKA) R-HSA-187037,-0.5133564329283731,-2.347450345545516,0.001,0.001,0.001,48/106,17.25%,MAPK3;NAB2;AP2A1;PPP2R1A;CRK;MEF2D;RAP1A;RALGDS;ARC;EGR1;PPP2R5D;EGR3;SHC2;RPS6KA1;IRS1;DNM1;IRS2;FOSB;JUND;KIDINS220;MAPK1;CDK5R2;DUSP7;CRKL;MAP2K2;CDK5R1;SRC;MAPK12;ID2;MAPK13;PIK3R1;FRS2;AP2M1;MAPK11;NTRK1;CDK5;CLTC;EP300;DUSP3;NRAS;AP2B1;MAP2K1;CHD4;KCNH8;RHOA;REST;DNM3;MAPKAPK2,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,G-protein Mediated Events R-HSA-112040,-0.6000864834398669,-2.3584394744860027,0.001,0.001,0.001,22/51,13.68%,GRK2;AHCYL1;GNAI2;GNA11;PDE1A;GNAI1;GNAI3;ITPR1;ITPR2;PRKCD;PRKAR1B;PRKAR1A;MAPK1;CAMK2B;PRKAR2A;CAMK2A;PRKCG;ADCY1;GNAQ;GNA15;GNA14;ADCY7,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,Integration Of Energy Metabolism R-HSA-163685,-0.5284735868744562,-2.3871617463987045,0.001,0.001,0.001,36/97,13.68%,AGPAT1;KCNS3;GNB2;AHCYL1;FASN;GNAI2;PPP2R1A;GNA11;STK11;RAP1A;PPP2R5D;PRKAB2;ABCC8;GNAI1;GNG12;ITPR1;ITPR2;RAPGEF3;PRKAR1B;SNAP25;PRKAR1A;KCNC2;PRKAR2A;PRKAA2;ADCY1;ADIPOR2;STXBP1;STX1A;GNAQ;SYT5;GNG7;GNA15;ADRA2A;GNA14;GNG3;ADCY7,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,Opioid Signaling R-HSA-111885,-0.5619958777939088,-2.4432663081515815,0.001,0.001,0.001,33/81,13.89%,GRK2;GNB2;AHCYL1;GNAI2;PPP2R1A;GNA11;PPP2R5D;PDE1A;GNAI1;GNAI3;GNG12;ITPR1;ITPR2;PRKCD;PRKAR1B;PPP1CA;PPP1R1B;PRKAR1A;MAPK1;CAMK2B;PRKAR2A;CAMK2A;PRKCG;ADCY1;GNAQ;GNG7;GNA15;GNA14;GNG3;PDE4A;ADCY7;PDE4B;CDK5,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,RAF-independent MAPK1/3 Activation R-HSA-112409,-0.7045501997021187,-2.2625431588362988,0.001,0.0011905182359727,0.003,11/21,10.86%,MAPK3;DUSP2;PEA15;JAK2;DUSP9;PTPN11;MAPK1;DUSP7;MAP2K2;DUSP5;DUSP8,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,Regulation Of Insulin Secretion R-HSA-422356,-0.5082306062173111,-2.169301704636701,0.001,0.0031747152959274,0.012,26/70,13.16%,KCNS3;GNB2;AHCYL1;GNAI2;GNA11;RAP1A;ABCC8;GNAI1;GNG12;ITPR1;ITPR2;RAPGEF3;PRKAR1B;SNAP25;PRKAR1A;KCNC2;PRKAR2A;STXBP1;STX1A;GNAQ;SYT5;GNG7;GNA15;ADRA2A;GNA14;GNG3,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
prerank,Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,-0.5382010359240744,-2.187339929465041,0.001,0.0031747152959274,0.011,33/56,23.55%,MAPK3;NAB2;PPP2R1A;MEF2D;ARC;EGR1;PPP2R5D;EGR3;RPS6KA1;FOSB;JUND;MAPK1;CDK5R2;DUSP7;CDK5R1;ID2;MAPK11;CDK5;EP300;DUSP3;CHD4;KCNH8;REST;MAPKAPK2;PPP2CB;RPS6KA5;DNM2;SRF;MAPK14;NAB1;EGR4;PPP2R1B;SGK1,excitatory_subtypes,Ex_L5_L6_THEMIS_NR4A2,c9ALS_vs_Control,Reactome_2022
