sample,condition,group,groupby_col,n_cells
GSM5292143,sALS,Inhibitory_neurons,cell_class_major_harmony,546
GSM5292144,sALS,Inhibitory_neurons,cell_class_major_harmony,1236
GSM5292145,sALS,Inhibitory_neurons,cell_class_major_harmony,62
GSM5292146,c9ALS,Inhibitory_neurons,cell_class_major_harmony,789
GSM5292147,c9ALS,Inhibitory_neurons,cell_class_major_harmony,826
GSM5292148,sALS,Inhibitory_neurons,cell_class_major_harmony,175
GSM5292156,c9ALS,Inhibitory_neurons,cell_class_major_harmony,364
GSM5292157,c9ALS,Inhibitory_neurons,cell_class_major_harmony,647
GSM5292174,Control,Inhibitory_neurons,cell_class_major_harmony,408
GSM5292175,Control,Inhibitory_neurons,cell_class_major_harmony,298
GSM5292176,Control,Inhibitory_neurons,cell_class_major_harmony,368
GSM5292177,Control,Inhibitory_neurons,cell_class_major_harmony,236
