sample,condition,group,groupby_col,n_cells
GSM5292143,sALS,Vascular,cell_class_major_harmony,82
GSM5292144,sALS,Vascular,cell_class_major_harmony,95
GSM5292146,c9ALS,Vascular,cell_class_major_harmony,63
GSM5292147,c9ALS,Vascular,cell_class_major_harmony,77
GSM5292148,sALS,Vascular,cell_class_major_harmony,115
GSM5292156,c9ALS,Vascular,cell_class_major_harmony,38
GSM5292157,c9ALS,Vascular,cell_class_major_harmony,29
GSM5292174,Control,Vascular,cell_class_major_harmony,30
GSM5292175,Control,Vascular,cell_class_major_harmony,64
GSM5292177,Control,Vascular,cell_class_major_harmony,21
