cluster,rank,subtype_score_name,suggested_subtype,mean_score
0,1,Glia.Oligo_score,Glia.Oligo,1.7956274420539746
0,2,Glia.Micro_score,Glia.Micro,0.22686075603033115
0,3,Glia.OPC_score,Glia.OPC,0.12300354518486369
0,4,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,0.10309208337217107
0,5,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,0.06309909111974978
1,1,Glia.Oligo_score,Glia.Oligo,1.840212281700389
1,2,Glia.Micro_score,Glia.Micro,0.2614710674285305
1,3,Glia.OPC_score,Glia.OPC,0.12396290538936364
1,4,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,0.1230628779242032
1,5,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,0.08029770685195327
3,1,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,1.6484367904926638
3,2,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,1.1539682427465952
3,3,Glia.OPC_score,Glia.OPC,0.35702320356140194
3,4,Glia.Oligo_score,Glia.Oligo,0.287025299782613
3,5,Glia.Micro_score,Glia.Micro,0.28349500142508444
4,1,Glia.OPC_score,Glia.OPC,1.570187965722713
4,2,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,0.43803744968654945
4,3,Glia.Oligo_score,Glia.Oligo,0.40797462298669357
4,4,Glia.Micro_score,Glia.Micro,0.3010947472970819
4,5,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,0.29095707416837496
5,1,Glia.Oligo_score,Glia.Oligo,1.850478891735291
5,2,Glia.Micro_score,Glia.Micro,0.2346481087735272
5,3,Glia.OPC_score,Glia.OPC,0.12170779885834786
5,4,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,0.10267347976635643
5,5,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,0.0650343437249409
6,1,Glia.Micro_score,Glia.Micro,1.5739519889444762
6,2,Glia.Oligo_score,Glia.Oligo,0.33590009575890534
6,3,Glia.OPC_score,Glia.OPC,0.13425335073380454
6,4,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,0.05149458556471771
6,5,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,0.025761977156523133
12,1,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,1.3114700260988097
12,2,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,1.1404031828398913
12,3,Glia.Oligo_score,Glia.Oligo,0.36712598654425116
12,4,Glia.OPC_score,Glia.OPC,0.275190963734656
12,5,Glia.Micro_score,Glia.Micro,0.23040826477091617
14,1,Glia.Oligo_score,Glia.Oligo,1.8781584203410877
14,2,Glia.Micro_score,Glia.Micro,0.2694229068498425
14,3,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,0.14368927067020537
14,4,Glia.OPC_score,Glia.OPC,0.1126710784987123
14,5,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,0.0903975587135726
24,1,Glia.Astro.GFAP.neg_score,Glia.Astro.GFAP.neg,1.3151674546534706
24,2,Glia.Astro.GFAP.pos_score,Glia.Astro.GFAP.pos,1.043710208027702
24,3,Glia.Micro_score,Glia.Micro,1.041611651337665
24,4,Glia.Oligo_score,Glia.Oligo,0.40907308480013976
24,5,Glia.OPC_score,Glia.OPC,0.3614599488460332
