cluster,rank,subtype_score_name,suggested_subtype,mean_score
7,1,In.5HT3aR.DISC1_RELN_score,In.5HT3aR.DISC1_RELN,0.9341163196138023
7,2,In.5HT3aR.DISC1_CCK_score,In.5HT3aR.DISC1_CCK,0.8661101718626536
7,3,In.5HT3aR.VIP_HTR2C_score,In.5HT3aR.VIP_HTR2C,0.8591781550360325
7,4,In.5HT3aR.VIP_LAMA3_score,In.5HT3aR.VIP_LAMA3,0.829694520940479
7,5,In.5HT3aR.VIP_CLSTN2_score,In.5HT3aR.VIP_CLSTN2,0.7479681228876622
9,1,In.PV.PVALB_MYBPC1_score,In.PV.PVALB_MYBPC1,0.946756650828083
9,2,In.PV.PVALB_CEMIP_score,In.PV.PVALB_CEMIP,0.9151023080720231
9,3,In.SOM.SST_ADAMTS19_score,In.SOM.SST_ADAMTS19,0.8647215047414969
9,4,In.PV.PVALB_PTHLH_score,In.PV.PVALB_PTHLH,0.8268668639668318
9,5,In.5HT3aR.DISC1_RELN_score,In.5HT3aR.DISC1_RELN,0.7501630406983897
13,1,In.SOM.SST_ADAMTS19_score,In.SOM.SST_ADAMTS19,1.1804960461424756
13,2,In.SOM.SST_GALNT14_score,In.SOM.SST_GALNT14,1.1305691543217518
13,3,In.SOM.SST_BRINP3_score,In.SOM.SST_BRINP3,0.8594284635774261
13,4,In.5HT3aR.DISC1_RELN_score,In.5HT3aR.DISC1_RELN,0.7488199323331995
13,5,In.PV.PVALB_MYBPC1_score,In.PV.PVALB_MYBPC1,0.6190968611034042
16,1,In.Rosehip.LAMP5_PMEPA1_score,In.Rosehip.LAMP5_PMEPA1,1.3112491691336525
16,2,In.5HT3aR.DISC1_RELN_score,In.5HT3aR.DISC1_RELN,1.2775787737993158
16,3,In.Rosehip.LAMP5_CA3_score,In.Rosehip.LAMP5_CA3,1.168005615576629
16,4,In.5HT3aR.CDH4_CCK_score,In.5HT3aR.CDH4_CCK,0.8794978621364465
16,5,In.SOM.SST_ADAMTS19_score,In.SOM.SST_ADAMTS19,0.7465312849822341
